element_type,id,now_cost,selected_by_percent,team,web_name
3,1004,80.0,0,23,Ken Sema
1,2695,50.0,0,23,Maduka Okoye
3,3535,65.0,0,23,Matheus Martins
2,2786,50.0,0,23,Matthew Pollock
4,3830,80.0,0,23,Rhys Healey
2,3587,50.0,0,23,Ryan Andrews
2,3553,60.0,0,23,Ryan Porteous
3,2815,65.0,0,23,Samuel Kalu
3,764,70.0,0,23,Thomas Ince
4,3537,55.0,0,23,Tobi Ademeyo
4,2722,75.0,0,23,Vakoun Bayo
2,3556,60.0,0,23,Wesley Hoedt
3,2760,65.0,0,23,Yaser Asprilla
3,725,55.0,0,24,Adam Reach
3,848,60.0,0,24,Alex Mowatt
1,1665,60.0,0,24,Alex Palmer
4,2795,80.0,0,24,Brandon Thomas-Asante
2,1511,50.0,0,24,Caleb Taylor
2,424,55.0,0,24,Cedric Kipre
2,382,65.0,0,24,Conor Townsend
2,379,60.0,0,24,Darnell Furlong
4,1421,85.0,0,24,Daryl Dike
1,1509,50.0,0,24,David Button
2,2813,60.0,0,24,Erik Pieters
3,393,70.0,0,24,Grady Diangana
3,323,60.0,0,24,Jayson Molumby
3,321,100.0,0,24,Jed Wallace
3,3073,80.0,0,24,Jeremy Leonel Sarmiento Morante
3,143,100.0,0,24,John Swift
4,1479,80.0,0,24,Josh Maja
1,3560,55.0,0,24,Joshua Griffiths
2,381,55.0,0,24,Kyle Bartley
3,387,65.0,0,24,Matt Phillips
3,991,55.0,0,24,Nathaniel Chalobah
3,1516,60.0,0,24,Okay Yokuşlu
2,403,55.0,0,24,Oluwasemilogo Adesewo Ibidapo Ajayi
3,1514,55.0,0,24,Taylor Gardner-Hickman
